box_id,bbox_string,site_count,region
1,"-149.834,61.1811,-147.31,64.8458",7,AK
2,"-157.871,19.2065,-155.055,21.3076",12,HI
3,"-120.644,34.3942,-119.515,35.3547",12,MAIN
4,"-121.156,35.4946,-119.504,36.8192",13,MAIN
5,"-119.404,33.9014,-118.179,35.0544",12,MAIN
6,"-119.313,35.2392,-118.418,36.6972",13,MAIN
7,"-122.398,36.9833,-121.599,37.7658",12,MAIN
8,"-122.519,37.7936,-121.642,38.5346",13,MAIN
9,"-121.575,36.8434,-120.68,38.6138",13,MAIN
10,"-120.48,36.8414,-118.294,37.9818",13,MAIN
11,"-118.171,32.7102,-117.124,34.0103",12,MAIN
12,"-117.089,32.6312,-116.064,33.9446",13,MAIN
13,"-118.127,34.0309,-116.391,34.511",13,MAIN
14,"-118.117,35.643,-116.848,36.8028",13,MAIN
15,"-116.016,32.4667,-112.339,34.6121",12,MAIN
16,"-112.294,33.0611,-112.003,33.8217",13,MAIN
17,"-116.032,35.7857,-115.176,36.5693",13,MAIN
18,"-115.149,35.1661,-112.107,37.1983",13,MAIN
19,"-123.359,38.6612,-121.338,40.1709",12,MAIN
20,"-124.277,40.2621,-121.576,42.3324",13,MAIN
21,"-124.264,42.4341,-123.053,44.6244",13,MAIN
22,"-123.037,42.5411,-121.273,44.7512",13,MAIN
23,"-123.82,44.9226,-122.772,46.1394",12,MAIN
24,"-122.738,44.7787,-121.527,45.8679",13,MAIN
25,"-124.61,46.6641,-122.463,48.9507",13,MAIN
26,"-122.456,46.7841,-121.603,48.76",13,MAIN
27,"-121.265,38.6833,-119.766,39.2504",12,MAIN
28,"-120.185,39.3279,-119.289,39.6453",6,MAIN
29,"-121.235,39.8134,-120.471,40.3019",3,MAIN
30,"-121.191,42.1892,-120.354,44.6306",4,MAIN
31,"-118.784,39.4725,-118.784,39.4725",1,MAIN
32,"-119.248,39.6027,-119.048,43.5892",2,MAIN
33,"-116.178,40.8383,-114.495,43.5776",3,MAIN
34,"-118.951,43.5993,-116.529,44.418",3,MAIN
35,"-116.106,43.6826,-114.371,44.8902",4,MAIN
36,"-112.355,40.4964,-112.009,40.8079",6,MAIN
37,"-113.89,41.4899,-112.021,45.1819",7,MAIN
38,"-120.333,45.3009,-117.813,46.3802",12,MAIN
39,"-120.545,46.4744,-117.369,48.5447",13,MAIN
40,"-117.368,45.4264,-116.115,48.7056",13,MAIN
41,"-116.028,46.2094,-114.224,48.3917",6,MAIN
42,"-114.159,45.2064,-112.013,48.5103",7,MAIN
43,"-111.935,32.3806,-111.127,33.4124",12,MAIN
44,"-111.917,33.42,-111.33,35.2045",13,MAIN
45,"-110.996,31.3372,-109.389,32.25",12,MAIN
46,"-111.107,32.2953,-110.874,33.6547",6,MAIN
47,"-110.867,33.3855,-110.83,33.419",3,MAIN
48,"-110.786,33.0063,-107.904,36.035",2,MAIN
49,"-107.723,32.2558,-106.767,32.3169",2,MAIN
50,"-106.683,31.7467,-106.324,31.8624",6,MAIN
51,"-106.288,31.6675,-106.288,31.6675",1,MAIN
52,"-103.178,28.7046,-100.451,29.3025",2,MAIN
53,"-99.5333,27.5174,-98.62,29.515",3,MAIN
54,"-98.5891,26.2262,-98.1521,29.6322",6,MAIN
55,"-98.4177,29.6351,-97.7131,30.4832",7,MAIN
56,"-106.751,31.8939,-106.426,35.2994",13,MAIN
57,"-106.409,32.0411,-104.443,35.6198",3,MAIN
58,"-104.262,31.8703,-102.335,32.7267",3,MAIN
59,"-101.665,32.4419,-97.7508,36.1589",7,MAIN
60,"-97.7125,25.9009,-94.8564,29.5831",12,MAIN
61,"-95.6358,29.6239,-93.8969,29.8025",13,MAIN
62,"-97.6917,29.8145,-95.3877,30.6274",13,MAIN
63,"-95.3261,29.8281,-93.285,30.6681",13,MAIN
64,"-97.6797,31.088,-96.7534,32.9192",12,MAIN
65,"-97.5777,32.9225,-96.7861,35.6128",13,MAIN
66,"-96.4592,32.0319,-94.1681,34.9061",6,MAIN
67,"-94.1433,32.5364,-92.2605,34.8356",7,MAIN
68,"-96.3608,35.4081,-93.2081,36.3559",13,MAIN
69,"-111.714,37.1983,-108.49,40.3414",12,MAIN
70,"-108.472,36.7422,-106.836,39.5418",13,MAIN
71,"-106.823,36.3833,-104.722,39.7419",13,MAIN
72,"-105.545,39.7511,-104.707,40.3861",13,MAIN
73,"-111.988,40.4838,-109.79,41.8428",12,MAIN
74,"-109.561,40.4372,-109.22,41.5926",3,MAIN
75,"-107.227,40.4855,-105.549,41.8055",3,MAIN
76,"-105.128,40.4147,-104.706,41.1822",7,MAIN
77,"-111.594,42.373,-109.563,42.9288",6,MAIN
78,"-110.831,43.4578,-110.599,44.3731",3,MAIN
79,"-111.987,44.5597,-109.455,48.5404",4,MAIN
80,"-109.069,42.5275,-105.287,45.8064",13,MAIN
81,"-104.598,38.0847,-102.619,39.6385",3,MAIN
82,"-101.703,37.7667,-99.7636,39.3428",3,MAIN
83,"-97.8456,36.5123,-97.3139,37.7011",3,MAIN
84,"-98.3789,40.2851,-96.6757,40.9183",3,MAIN
85,"-96.6714,37.677,-94.8583,41.5507",13,MAIN
86,"-103.658,41.8756,-101.941,43.7469",3,MAIN
87,"-103.316,44.0874,-100.768,46.8253",3,MAIN
88,"-103.514,46.9497,-101.428,48.6419",7,MAIN
89,"-97.9282,41.8322,-95.9281,42.7895",6,MAIN
90,"-100.287,44.3738,-97.1288,45.4686",3,MAIN
91,"-96.8073,44.3486,-95.0292,47.8782",4,MAIN
92,"-94.8389,36.9222,-92.3163,39.1175",12,MAIN
93,"-94.849,39.132,-92.3158,42.7431",13,MAIN
94,"-94.6933,43.1233,-92.4497,44.979",13,MAIN
95,"-94.1433,45.0083,-92.4784,48.4128",13,MAIN
96,"-92.0428,29.7639,-89.396,30.3009",12,MAIN
97,"-92.0461,30.315,-89.2922,34.0026",13,MAIN
98,"-89.0497,30.3901,-87.4815,33.0954",6,MAIN
99,"-87.2708,30.1103,-84.9903,32.4128",6,MAIN
100,"-88.7668,33.2811,-85.3233,34.5286",13,MAIN
101,"-82.74,27.0892,-82.3625,27.8539",12,MAIN
102,"-82.7578,27.8636,-82.2306,29.5662",13,MAIN
103,"-84.9457,30.0842,-82.445,32.9672",13,MAIN
104,"-84.7789,33.1787,-83.3575,34.3778",13,MAIN
105,"-91.1165,34.8206,-89.3819,38.5425",12,MAIN
106,"-88.625,35.1169,-87.2815,38.1139",13,MAIN
107,"-87.1375,34.6917,-85.7331,37.1314",13,MAIN
108,"-87.0558,37.7145,-85.6544,38.3938",13,MAIN
109,"-85.2943,34.785,-83.9416,35.9777",12,MAIN
110,"-83.9306,34.636,-82.4146,35.9803",13,MAIN
111,"-85.5744,36.0183,-83.2203,38.3986",13,MAIN
112,"-83.0662,36.5131,-82.4258,38.5081",13,MAIN
113,"-90.4759,38.6503,-89.9501,38.9013",12,MAIN
114,"-92.0061,39.0459,-89.6409,41.6992",13,MAIN
115,"-89.6072,38.7408,-86.99,40.6978",13,MAIN
116,"-89.5861,40.745,-86.9078,41.7547",13,MAIN
117,"-91.6878,41.7714,-87.8761,42.335",12,MAIN
118,"-87.8631,41.7558,-87.5453,42.5047",13,MAIN
119,"-90.6964,42.596,-87.81,44.2893",13,MAIN
120,"-92.1669,44.3347,-90.6986,47.9464",6,MAIN
121,"-90.5969,44.3069,-87.9939,47.9721",7,MAIN
122,"-86.5047,39.1594,-85.7668,40.0683",12,MAIN
123,"-85.6521,38.9675,-84.4077,40.1995",13,MAIN
124,"-84.4038,39.0828,-83.9429,40.0846",13,MAIN
125,"-83.8046,38.5483,-82.433,40.1111",13,MAIN
126,"-86.8911,40.4317,-85.6294,42.1978",12,MAIN
127,"-85.2459,40.2789,-82.6796,41.9956",13,MAIN
128,"-85.5419,42.2283,-83.0919,42.4631",13,MAIN
129,"-86.3111,42.7314,-82.4564,46.2889",13,MAIN
130,"-80.4838,25.4782,-80.0969,26.2906",12,MAIN
131,"-82.0003,26.294,-80.0589,27.94",13,MAIN
132,"-82.1733,28.0542,-80.6156,29.4891",13,MAIN
133,"-81.8408,29.6867,-79.96,32.8823",13,MAIN
134,"-82.0756,33.4333,-80.1989,35.2132",12,MAIN
135,"-82.0621,35.2411,-80.1439,36.0508",13,MAIN
136,"-80.0307,32.941,-76.6203,35.428",13,MAIN
137,"-79.8592,35.5909,-76.1812,36.8419",13,MAIN
138,"-82.1101,36.8912,-80.4572,39.9428",12,MAIN
139,"-80.2897,37.17,-78.31,39.9878",13,MAIN
140,"-77.7677,37.3444,-77.0128,38.8752",13,MAIN
141,"-78.0816,38.8947,-76.9534,39.9611",13,MAIN
142,"-76.8119,36.8556,-75.1632,38.9867",12,MAIN
143,"-76.8783,39.0284,-74.431,39.462",13,MAIN
144,"-76.6994,39.5513,-75.4919,40.0467",13,MAIN
145,"-75.414,39.4649,-74.1704,40.0089",13,MAIN
146,"-81.9239,40.1147,-80.5925,41.1062",12,MAIN
147,"-82.0957,41.1825,-80.5728,41.9597",13,MAIN
148,"-80.42,40.1469,-78.9158,40.6139",13,MAIN
149,"-80.485,40.6847,-78.4792,43.2189",13,MAIN
150,"-78.3889,40.2464,-75.4325,41.2662",12,MAIN
151,"-77.5576,41.4428,-75.5781,44.0878",13,MAIN
152,"-75.3411,40.0542,-74.1372,40.6331",13,MAIN
153,"-75.3283,40.6414,-74.0187,43.4556",13,MAIN
154,"-74.0051,40.2776,-73.0575,40.8535",12,MAIN
155,"-74.0097,40.868,-73.1036,41.8331",13,MAIN
156,"-73.0442,40.9617,-71.7197,42.1944",13,MAIN
157,"-71.62,41.3305,-70.0239,42.0997",13,MAIN
158,"-73.8589,42.2983,-72.2723,44.5284",12,MAIN
159,"-71.8786,42.2117,-71.1144,44.3081",13,MAIN
160,"-71.107,42.3252,-69.7977,43.7363",13,MAIN
161,"-70.8547,43.918,-67.6155,47.3553",13,MAIN
